DateTime|Model|RunID|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
2020.04.22. Wednesday 22:57:54|ipend(1,2,1,10,5;2,0.4,1.2;1)|5|0|0.863690330675042|1951.20834|1971.752476|Successfully solved (MOSEK)|Polytopic a. with Finsler (old) Na(p,dp)
2020.04.22. Wednesday 23:02:46|ipend(1,2,1,10,5;2,0.4,1.2;1)|5|0|0.864269371808713|253.839232|291.21471|Successfully solved (MOSEK)|Polytopic a. with Finsler Na(p,dp)
2020.04.22. Wednesday 23:13:13|ipend(1,2,1,10,5;2,0.4,1.2;1)|6|0|0.86421278544166|252.915068|288.934151|Successfully solved (MOSEK)|minlfr + Polytopic a. with Finsler Na(p,dp)
2020.04.23. Thursday 10:39:09|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0.554771842048457|0|0|0|p1 = 0.97355, p2 = 0.92106, p3 = -0.4673|Grid-based worst case LTI Hinf analysis (frozen parameters)
2020.04.23. Thursday 10:39:24|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0.554771842657351|0.566320898864351|0|3.758623|[no info]|Robust Control Toolbox
2020.04.23. Thursday 10:44:37|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.871619359138664|0|305.943897|pgrid (5x5x5)x(2x2x2)|LPVTools - grid
2020.04.23. Thursday 10:44:51|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.863036814457389|4.344607|13.615992|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
2020.04.23. Thursday 10:49:28|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.863355463118332|140.09463|276.836779|15x15x15, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
2020.04.23. Thursday 10:50:54|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.874384300743667|71.763975|86.035372|Successfully solved (MOSEK)|Descriptor - primal
2020.04.23. Thursday 10:52:48|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.874140063030333|104.738144|113.913048|Successfully solved (MOSEK)|Descriptor - dual condensed LMI form
2020.04.23. Thursday 10:54:46|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.874140063030333|104.016513|117.405736|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
2020.04.23. Thursday 10:55:08|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|1.14436305605724|22.098768|22.303476|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|LPVMAD - ltvs
2020.04.23. Thursday 10:56:31|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0.554086961035692|1.13877052657513|61.353529|77.866284|tvreal, lpvwcgain|LPVTools - LFT/IQC
2020.04.23. Thursday 11:27:57|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.863690330675042|1866.749394|1886.093094|Successfully solved (MOSEK)|Polytopic a. with Finsler (old) Na(p,dp)
2020.04.23. Thursday 11:32:27|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.864145471191253|235.689092|269.227993|Successfully solved (MOSEK)|Polytopic a. with Finsler Na(p,dp)
2020.04.23. Thursday 11:41:02|ipend(1,2,1,10,5;2,0.4,1.2;1)|18|0|0.863976156692699|293.856897|326.033986|Successfully solved (MOSEK)|minlfr + Polytopic a. with Finsler Na(p,dp)
2020.04.23. Thursday 12:40:51|ipend(1,2,1,10,5;2,0.4,1.2;1)|20|0|0.863690330675042|1902.879151|1925.614892|Successfully solved (MOSEK)|Polytopic a. with Finsler (old) Na(p,dp)
2020.04.23. Thursday 12:45:15|ipend(1,2,1,10,5;2,0.4,1.2;1)|20|0|0.864145471191253|228.085767|262.343736|Successfully solved (MOSEK)|Polytopic a. with Finsler Na(p,dp)
2020.04.23. Thursday 12:50:27|ipend(1,2,1,10,5;2,0.4,1.2;1)|20|0|0.864228021621672|280.365186|312.272984|Successfully solved (MOSEK)|minlfr + Polytopic a. with Finsler Na(p,dp)
